"","s.BP","s.VM","index","stat","p.value"
"Otu100_Ostracoda",1,0,1,0.13400959169556,1e-04
"Otu101_Oncaeidae",0,1,2,0.133885244035016,3e-04
"Otu102_Arthropoda",0,1,2,0.131263855196933,0.0142
"Otu104_Eukaryota",0,1,2,0.268719070677306,4e-04
"Otu105_Hexanauplia",1,0,1,0.0549989627509374,0.4921
"Otu106_Eukaryota",1,0,1,0.130188910980824,1
"Otu107_NA",1,0,1,0.132751631067347,2e-04
"Otu108_Triconia",1,0,1,0.0801788765953235,0.4995
"Otu110_Rhopalonematidae",1,0,1,0.106347694326152,0.743
"Otu111_Scolecithricella",0,1,2,0.170062444668618,1e-04
"Otu112_Eukaryota",1,0,1,0.0248566877333113,0.8685
"Otu114_Lestrolepis",0,1,2,0.172170097855438,1e-04
"Otu115_NA",0,1,2,0.209895181113171,0.1073
"Otu117_Hexanauplia",0,1,2,0.224004129088205,4e-04
"Otu118_Hexanauplia",0,1,2,0.130188910980824,1
"Otu120_Eucidaris",0,1,2,0.00110618514064521,0.9977
"Otu121_Hexanauplia",1,0,1,0.131697009068122,2e-04
"Otu122_Arthropoda",1,0,1,0.133186424026049,1e-04
"Otu123_NA",1,0,1,0.132661771888538,2e-04
"Otu124_Hydrozoa",1,0,1,0.135193937595613,0.3458
"Otu125_Arthropoda",0,1,2,0.130709314365778,0.1604
"Otu126_Delibus",0,1,2,0.139518201907097,0.4935
"Otu128_Acartia",1,0,1,0.135920135312769,1e-04
"Otu129_Gastropoda",0,1,2,0.162021275095373,6e-04
"Otu13_Hexanauplia",0,1,2,0.210435808143798,0.0324
"Otu130_Mollusca",0,1,2,0.0419849114872165,0.7588
"Otu132_NA",1,0,1,0.117391431730157,0.9615
"Otu133_Diadumene",1,0,1,0.133999601347796,1e-04
"Otu134_NA",0,1,2,0.129941527082011,0.6226
"Otu135_Eukaryota",1,0,1,0.131743084266019,2e-04
"Otu136_Subeucalanus",0,1,2,0.164451979102068,0.4917
"Otu137_Bopyridae",1,0,1,0.133814270892965,1e-04
"Otu138_Clausocalanus",1,0,1,0.0206666543388724,0.8029
"Otu140_Gastropoda",0,1,2,0.139221920555985,0.2375
"Otu141_NA",0,1,2,0.134274119076102,8e-04
"Otu142_Arthropoda",0,1,2,0.129368765242297,0.7527
"Otu143_Arthropoda",0,1,2,0.161925417095595,0.0176
"Otu144_Arthropoda",1,0,1,0.132666973665407,3e-04
"Otu145_Arthropoda",0,1,2,0.131209796180281,0.0934
"Otu148_Eukaryota",0,1,2,0,1
"Otu149_Gastropoda",1,0,1,0.617695713680689,1e-04
"Otu152_NA",0,1,2,0.133493538130032,0.0013
"Otu153_Clausocalanidae",0,1,2,0.131710961131846,0.0663
"Otu156_Arthropoda",0,1,2,0.131251314650687,0.0822
"Otu157_Chordata",1,0,1,0.101020398808554,0.4366
"Otu158_Gastropoda",0,1,2,0.132187190439716,0.012
"Otu16_Hexanauplia",0,1,2,0.199194853481474,0.1319
"Otu161_Euphausia",1,0,1,0.16513830915902,0.3721
"Otu163_Proceroecia",0,1,2,0.0185499330921296,1
"Otu165_Oithona",0,1,2,0.173246525866093,0.1924
"Otu166_Annelida",1,0,1,0.133130945864003,0.0022
"Otu168_Arthropoda",0,1,2,0.131111153009943,0.0319
"Otu17_Arthropoda",0,1,2,0.101053410575754,0.4718
"Otu170_Gastropoda",1,0,1,0.13006478400716,0.5848
"Otu172_Eukaryota",1,0,1,0.13399744538792,0.2379
"Otu174_Littorinimorpha",1,0,1,0.132323380261548,6e-04
"Otu176_Eukaryota",0,1,2,0.027359312405373,0.9733
"Otu177_Arthropoda",1,0,1,0.130613932849682,0.2258
"Otu178_Paracalanus",1,0,1,0.0874499725187284,0.9513
"Otu179_Leptothecata",1,0,1,0.130191034497769,0.5095
"Otu18_Cnidaria",0,1,2,0.185342391248016,0.1588
"Otu180_NA",0,1,2,0.135857609241812,3e-04
"Otu181_Cosmocalanus",0,1,2,0.12991176202403,0.5469
"Otu182_NA",1,0,1,0.128070423199591,0.3419
"Otu183_Porifera",0,1,2,0.132284200995235,0.0057
"Otu185_Hexanauplia",0,1,2,0.157155116858594,1e-04
"Otu186_NA",0,1,2,0.1313190317608,0.1773
"Otu187_Eukaryota",1,0,1,0.132017385098212,0.2332
"Otu188_NA",1,0,1,0.131228916337263,0.1514
"Otu19_Oncaeidae",0,1,2,0.0544932967605068,0.6621
"Otu192_Eukaryota",0,1,2,0.150313774146743,1e-04
"Otu194_NA",0,1,2,0.152809727177167,1e-04
"Otu195_Acrocalanus",0,1,2,0.131034567593016,0.0598
"Otu196_Hydrozoa",0,1,2,0.129281580715276,0.8126
"Otu197_Scyphozoa",0,1,2,0.131640707981363,0.0469
"Otu198_Hexanauplia",0,1,2,0.151251237823634,0.0014
"Otu199_Pseudevadne",0,1,2,0.135997909235619,9e-04
"Otu202_Hexanauplia",0,1,2,0.130342397562739,0.4432
"Otu203_NA",0,1,2,0.158699919244324,0.0045
"Otu204_Eukaryota",0,1,2,0.138451858617787,3e-04
"Otu205_Cnidaria",0,1,2,0.10794819569104,0.6873
"Otu207_Canthocalanus",0,1,2,0.130546310792203,0.2493
"Otu208_Arthropoda",1,0,1,0.133472814285049,1e-04
"Otu209_NA",1,0,1,0.130188910980824,1
"Otu21_Artemia",0,1,2,0.135093034968801,0.3275
